,loan_amnt,date,dti,zip_code,emp_length,date
12463162,5000.0,2018-01-30,486.58%,260xx,< 1 year,2018-01-30
13275021,20000.0,2018-03-11,35.97%,571xx,< 1 year,2018-03-11
161572,7000.0,2016-01-16,0%,606xx,< 1 year,2016-01-16
17482608,5000.0,2018-08-17,37.36%,328xx,< 1 year,2018-08-17
3183913,40000.0,2016-09-17,49.53%,322xx,< 1 year,2016-09-17
19154206,24500.0,2018-10-14,24.27%,064xx,< 1 year,2018-10-14
8596586,10000.0,2017-08-04,11.95%,424xx,< 1 year,2017-08-04
7138395,1000.0,2017-05-28,22.5%,233xx,< 1 year,2017-05-28
13932332,300000.0,2018-04-10,-1%,112xx,< 1 year,2018-04-10
13689991,15000.0,2018-03-30,100%,087xx,< 1 year,2018-03-30
7762302,5000.0,2017-06-28,0.92%,959xx,3 years,2017-06-28
11352162,2000.0,2017-12-06,0%,328xx,< 1 year,2017-12-06
1229354,11000.0,2016-04-11,3.04%,100xx,5 years,2016-04-11
15201104,30000.0,2018-05-25,24.34%,761xx,< 1 year,2018-05-25
19710782,16000.0,2018-11-02,22.93%,799xx,10+ years,2018-11-02
19648013,5000.0,2018-10-31,31.55%,973xx,< 1 year,2018-10-31
16480413,35000.0,2018-07-13,5.81%,967xx,< 1 year,2018-07-13
14177146,1000.0,2018-04-19,1.85%,891xx,< 1 year,2018-04-19
20466264,10000.0,2018-11-29,33.13%,774xx,< 1 year,2018-11-29
922123,5000.0,2016-03-19,44.05%,444xx,< 1 year,2016-03-19
19303313,10000.0,2018-10-19,43.21%,802xx,< 1 year,2018-10-19
20774726,20000.0,2018-12-09,17.46%,232xx,< 1 year,2018-12-09
20248458,25000.0,2018-11-21,24.49%,114xx,< 1 year,2018-11-21
13799831,8000.0,2018-04-04,20.01%,662xx,< 1 year,2018-04-04
15267821,1000.0,2018-05-29,0.4%,959xx,< 1 year,2018-05-29
2346086,2000.0,2016-07-19,0%,391xx,< 1 year,2016-07-19
10600450,1500.0,2017-11-04,35.2%,210xx,< 1 year,2017-11-04
4854486,10000.0,2017-01-06,10.5%,774xx,< 1 year,2017-01-06
8309272,14000.0,2017-07-24,30.86%,233xx,< 1 year,2017-07-24
1238871,5000.0,2016-04-12,-1%,409xx,< 1 year,2016-04-12
15710460,10000.0,2018-06-13,22.12%,721xx,< 1 year,2018-06-13
13892988,10000.0,2018-04-09,40.21%,308xx,< 1 year,2018-04-09
67104,5000.0,2016-01-07,20.49%,463xx,< 1 year,2016-01-07
14884822,6000.0,2018-05-15,17.5%,322xx,< 1 year,2018-05-15
4548334,7000.0,2016-12-15,37.35%,853xx,< 1 year,2016-12-15
8437203,15000.0,2017-07-28,7.08%,563xx,< 1 year,2017-07-28
289118,13500.0,2016-01-27,43.23%,333xx,< 1 year,2016-01-27
8570342,30000.0,2017-08-03,36.76%,805xx,< 1 year,2017-08-03
16756626,12000.0,2018-07-23,97.12%,791xx,< 1 year,2018-07-23
9747253,1000.0,2017-09-27,13.37%,303xx,5 years,2017-09-27
11616377,10000.0,2017-12-18,5.21%,802xx,< 1 year,2017-12-18
7114831,16000.0,2017-05-26,75.73%,850xx,< 1 year,2017-05-26
13339507,3500.0,2018-03-14,28.89%,064xx,< 1 year,2018-03-14
5765954,20000.0,2017-03-06,10.1%,125xx,< 1 year,2017-03-06
20974920,12000.0,2018-12-16,2.91%,928xx,< 1 year,2018-12-16
16774090,6000.0,2018-07-23,24.54%,117xx,< 1 year,2018-07-23
736093,1000.0,2016-03-07,12.53%,770xx,< 1 year,2016-03-07
10243774,15000.0,2017-10-19,5.03%,183xx,< 1 year,2017-10-19
18315041,10000.0,2018-09-14,100%,606xx,< 1 year,2018-09-14
9580648,2000.0,2017-09-20,9.2%,347xx,< 1 year,2017-09-20
8855779,5000.0,2017-08-17,0.5%,441xx,5 years,2017-08-17
5836364,12000.0,2017-03-11,25.73%,027xx,5 years,2017-03-11
12569320,10000.0,2018-02-04,100%,811xx,< 1 year,2018-02-04
17550696,6000.0,2018-08-20,37.09%,300xx,< 1 year,2018-08-20
208208,15000.0,2016-01-20,35.56%,177xx,< 1 year,2016-01-20
14134320,20000.0,2018-04-18,13.35%,723xx,< 1 year,2018-04-18
4726492,15000.0,2016-12-28,31.59%,010xx,4 years,2016-12-28
11841147,5000.0,2017-12-31,15.17%,197xx,< 1 year,2017-12-31
19580242,10000.0,2018-10-29,100%,082xx,< 1 year,2018-10-29
6543436,35000.0,2017-04-25,30.67%,775xx,5 years,2017-04-25
798635,40000.0,2016-03-11,35.06%,752xx,< 1 year,2016-03-11
13785506,2000.0,2018-04-04,11.84%,238xx,< 1 year,2018-04-04
15626094,15000.0,2018-06-11,100%,801xx,< 1 year,2018-06-11
1253913,7500.0,2016-04-12,9999%,334xx,< 1 year,2016-04-12
20750809,10000.0,2018-12-08,21.26%,117xx,< 1 year,2018-12-08
9090410,23000.0,2017-08-29,0.72%,853xx,< 1 year,2017-08-29
7332410,1000.0,2017-06-06,18.01%,200xx,1 year,2017-06-06
18988779,5000.0,2018-10-09,28.67%,852xx,< 1 year,2018-10-09
9480977,15000.0,2017-09-16,38.36%,383xx,< 1 year,2017-09-16
9045448,5000.0,2017-08-27,12.06%,891xx,< 1 year,2017-08-27
861573,10000.0,2016-03-16,-1%,951xx,< 1 year,2016-03-16
8918624,6000.0,2017-08-21,100%,908xx,< 1 year,2017-08-21
9892301,14600.0,2017-10-04,100%,761xx,< 1 year,2017-10-04
18260125,15000.0,2018-09-12,21.46%,234xx,< 1 year,2018-09-12
21284139,1200.0,2018-12-29,57.24%,395xx,< 1 year,2018-12-29
2496776,2000.0,2016-07-31,44.6%,881xx,< 1 year,2016-07-31
17662323,12500.0,2018-08-23,21.56%,668xx,< 1 year,2018-08-23
12092647,2500.0,2018-01-12,100%,968xx,< 1 year,2018-01-12
17018450,5000.0,2018-07-31,16.67%,136xx,< 1 year,2018-07-31
17781281,2600.0,2018-08-27,0%,161xx,< 1 year,2018-08-27
17415411,13000.0,2018-08-15,22.7%,373xx,< 1 year,2018-08-15
14046872,3500.0,2018-04-15,25.26%,245xx,< 1 year,2018-04-15
17090635,35000.0,2018-08-03,100%,074xx,< 1 year,2018-08-03
20026554,2500.0,2018-11-13,44.51%,405xx,< 1 year,2018-11-13
13693188,35000.0,2018-03-30,10.4%,140xx,< 1 year,2018-03-30
12932287,2500.0,2018-02-22,61.6%,063xx,< 1 year,2018-02-22
11953479,3500.0,2018-01-05,100%,338xx,< 1 year,2018-01-05
17993370,10000.0,2018-09-04,21.22%,770xx,< 1 year,2018-09-04
16748362,2000.0,2018-07-22,0%,801xx,< 1 year,2018-07-22
14642468,10000.0,2018-05-07,17.45%,283xx,< 1 year,2018-05-07
3639161,10000.0,2016-10-19,1.4%,229xx,5 years,2016-10-19
10990124,7000.0,2017-11-20,21.36%,194xx,< 1 year,2017-11-20
5519905,6000.0,2017-02-18,42.12%,329xx,5 years,2017-02-18
942524,25000.0,2016-03-21,6.81%,125xx,< 1 year,2016-03-21
8381535,2000.0,2017-07-26,34.06%,535xx,5 years,2017-07-26
17436958,5000.0,2018-08-15,26.92%,952xx,< 1 year,2018-08-15
8282479,2000.0,2017-07-22,14.19%,608xx,< 1 year,2017-07-22
16361854,35000.0,2018-07-09,0.13%,920xx,< 1 year,2018-07-09
10488338,25000.0,2017-10-31,29.36%,380xx,< 1 year,2017-10-31
4892049,5000.0,2017-01-09,5.8%,770xx,5 years,2017-01-09
18401575,5000.0,2018-09-18,100%,360xx,8 years,2018-09-18
2090307,4000.0,2016-06-30,20.08%,346xx,< 1 year,2016-06-30
52287,10000.0,2016-01-06,120.92%,182xx,< 1 year,2016-01-06
1691020,10000.0,2016-05-23,60.03%,935xx,5 years,2016-05-23
21060935,1000.0,2018-12-19,0%,809xx,5 years,2018-12-19
20652064,1500.0,2018-12-05,11.07%,891xx,< 1 year,2018-12-05
13777657,40000.0,2018-04-03,15.82%,425xx,< 1 year,2018-04-03
2919021,20000.0,2016-08-29,15.22%,631xx,< 1 year,2016-08-29
3805745,10000.0,2016-10-31,31.73%,103xx,5 years,2016-10-31
7216662,5000.0,2017-06-01,28.27%,891xx,5 years,2017-06-01
18461932,30000.0,2018-09-19,25.56%,923xx,< 1 year,2018-09-19
7879155,5000.0,2017-07-05,1.71%,469xx,5 years,2017-07-05
20814607,6000.0,2018-12-10,25.89%,117xx,< 1 year,2018-12-10
9608436,1000.0,2017-09-21,19.74%,986xx,< 1 year,2017-09-21
18850069,10000.0,2018-10-03,45.44%,917xx,< 1 year,2018-10-03
3420245,40000.0,2016-10-05,28.24%,750xx,< 1 year,2016-10-05
15280105,10000.0,2018-05-29,53.96%,710xx,< 1 year,2018-05-29
10735779,10000.0,2017-11-10,13.44%,270xx,< 1 year,2017-11-10
1571550,2000.0,2016-05-08,1%,412xx,< 1 year,2016-05-08
5131784,10000.0,2017-01-23,32.6%,841xx,< 1 year,2017-01-23
6603297,30000.0,2017-04-29,4.76%,932xx,< 1 year,2017-04-29
13529419,10000.0,2018-03-22,8.63%,302xx,< 1 year,2018-03-22
13846299,1000.0,2018-04-06,48.57%,781xx,< 1 year,2018-04-06
11778489,35000.0,2017-12-27,43.76%,314xx,< 1 year,2017-12-27
10177837,20000.0,2017-10-17,8.69%,933xx,< 1 year,2017-10-17
2712682,10000.0,2016-08-15,36.51%,836xx,< 1 year,2016-08-15
1983132,10000.0,2016-06-24,1.14%,917xx,5 years,2016-06-24
4161438,6000.0,2016-11-22,9999%,919xx,< 1 year,2016-11-22
3737457,8000.0,2016-10-26,0.13%,362xx,< 1 year,2016-10-26
11550747,20000.0,2017-12-15,0%,917xx,< 1 year,2017-12-15
7104811,1500.0,2017-05-26,21.71%,614xx,< 1 year,2017-05-26
17442643,2000.0,2018-08-15,10.93%,115xx,< 1 year,2018-08-15
10026740,20000.0,2017-10-10,100%,762xx,< 1 year,2017-10-10
5836318,15000.0,2017-03-11,43.18%,990xx,< 1 year,2017-03-11
11905396,2500.0,2018-01-03,6.52%,870xx,< 1 year,2018-01-03
4272681,35000.0,2016-11-29,32.57%,483xx,< 1 year,2016-11-29
19578528,16000.0,2018-10-29,20.88%,121xx,< 1 year,2018-10-29
11189087,35000.0,2017-11-29,958.88%,255xx,< 1 year,2017-11-29
13300936,10000.0,2018-03-12,583.45%,261xx,< 1 year,2018-03-12
14683771,5500.0,2018-05-08,100%,606xx,< 1 year,2018-05-08
15810484,1000.0,2018-06-18,0%,360xx,< 1 year,2018-06-18
1296894,2500.0,2016-04-16,16.73%,853xx,< 1 year,2016-04-16
2703165,25000.0,2016-08-15,31.24%,237xx,< 1 year,2016-08-15
14603421,2500.0,2018-05-05,0%,554xx,< 1 year,2018-05-05
11106815,14000.0,2017-11-27,53.77%,665xx,< 1 year,2017-11-27
5964038,7000.0,2017-03-20,16.39%,323xx,< 1 year,2017-03-20
2910595,35000.0,2016-08-29,35.47%,117xx,5 years,2016-08-29
8403973,7500.0,2017-07-27,29.69%,183xx,5 years,2017-07-27
15528466,16000.0,2018-06-07,28.6%,553xx,< 1 year,2018-06-07
3617645,10000.0,2016-10-18,35.19%,469xx,< 1 year,2016-10-18
6042987,7000.0,2017-03-25,3.41%,422xx,< 1 year,2017-03-25
574215,15000.0,2016-02-22,20.66%,801xx,5 years,2016-02-22
13702070,15000.0,2018-03-30,9.78%,928xx,< 1 year,2018-03-30
13169364,13000.0,2018-03-06,27.36%,441xx,< 1 year,2018-03-06
14809573,10000.0,2018-05-12,44%,170xx,< 1 year,2018-05-12
15787509,1500.0,2018-06-16,7.64%,028xx,< 1 year,2018-06-16
6340094,19000.0,2017-04-12,0%,807xx,< 1 year,2017-04-12
18763685,40000.0,2018-10-01,53.47%,388xx,< 1 year,2018-10-01
2241840,5000.0,2016-07-11,28.63%,121xx,< 1 year,2016-07-11
10380126,1000.0,2017-10-25,0.26%,752xx,< 1 year,2017-10-25
10794379,10000.0,2017-11-13,22.32%,292xx,< 1 year,2017-11-13
1062744,20000.0,2016-03-29,28.71%,770xx,< 1 year,2016-03-29
5416332,1000.0,2017-02-11,16.59%,981xx,5 years,2017-02-11
10907671,1000.0,2017-11-16,49.55%,431xx,< 1 year,2017-11-16
7071671,3000.0,2017-05-24,100%,112xx,< 1 year,2017-05-24
6393481,8000.0,2017-04-17,-1%,492xx,< 1 year,2017-04-17
7582241,8000.0,2017-06-19,14.83%,374xx,8 years,2017-06-19
13028243,20000.0,2018-02-27,100%,117xx,< 1 year,2018-02-27
2748653,2000.0,2016-08-17,5.74%,395xx,< 1 year,2016-08-17
13237324,13000.0,2018-03-09,119.55%,330xx,< 1 year,2018-03-09
8789090,10000.0,2017-08-15,45.2%,891xx,< 1 year,2017-08-15
14085028,2500.0,2018-04-16,45.42%,809xx,< 1 year,2018-04-16
15807940,10000.0,2018-06-17,30.23%,754xx,< 1 year,2018-06-17
11081242,5000.0,2017-11-25,13.42%,380xx,< 1 year,2017-11-25
19470333,10000.0,2018-10-24,10.4%,073xx,< 1 year,2018-10-24
8081607,22125.0,2017-07-13,-1%,327xx,5 years,2017-07-13
5368567,1000.0,2017-02-08,28.33%,756xx,< 1 year,2017-02-08
4448276,40000.0,2016-12-09,35.97%,722xx,< 1 year,2016-12-09
20832354,4000.0,2018-12-11,35.65%,774xx,< 1 year,2018-12-11
10636926,25000.0,2017-11-06,67.97%,302xx,< 1 year,2017-11-06
16201082,2500.0,2018-07-02,72.11%,604xx,6 years,2018-07-02
1217303,5000.0,2016-04-11,9.9%,535xx,< 1 year,2016-04-11
20102699,10000.0,2018-11-16,100%,493xx,< 1 year,2018-11-16
4268055,20000.0,2016-11-29,100%,917xx,< 1 year,2016-11-29
15913301,2500.0,2018-06-21,14.06%,020xx,3 years,2018-06-21
10158798,18000.0,2017-10-16,19.69%,207xx,< 1 year,2017-10-16
21102164,7000.0,2018-12-20,19.67%,142xx,< 1 year,2018-12-20
9315784,1000.0,2017-09-08,90.23%,617xx,5 years,2017-09-08
4826483,30000.0,2017-01-04,6.23%,331xx,< 1 year,2017-01-04
8825318,35000.0,2017-08-16,3.36%,275xx,5 years,2017-08-16
15928239,2000.0,2018-06-21,47.48%,104xx,< 1 year,2018-06-21
7412592,4000.0,2017-06-10,313.33%,028xx,< 1 year,2017-06-10
16653787,3000.0,2018-07-19,18.72%,853xx,< 1 year,2018-07-19
13159831,35000.0,2018-03-06,21.23%,330xx,10+ years,2018-03-06
15820000,5000.0,2018-06-18,3.73%,674xx,< 1 year,2018-06-18
3265902,2000.0,2016-09-23,26.79%,301xx,< 1 year,2016-09-23
20085423,5000.0,2018-11-15,100%,707xx,< 1 year,2018-11-15
13432634,5000.0,2018-03-19,26.19%,140xx,< 1 year,2018-03-19
9190905,8000.0,2017-09-02,100%,019xx,< 1 year,2017-09-02
16535443,20000.0,2018-07-15,5.18%,112xx,< 1 year,2018-07-15
15947566,5000.0,2018-06-22,18.58%,302xx,< 1 year,2018-06-22
12905081,10000.0,2018-02-21,1%,125xx,< 1 year,2018-02-21
11566033,10000.0,2017-12-15,28.84%,220xx,< 1 year,2017-12-15
19612617,10000.0,2018-10-30,17.55%,322xx,< 1 year,2018-10-30
870752,6000.0,2016-03-16,68.25%,740xx,< 1 year,2016-03-16
19997149,15400.0,2018-11-13,100%,082xx,< 1 year,2018-11-13
15562814,15000.0,2018-06-08,100%,956xx,< 1 year,2018-06-08
14311074,1000.0,2018-04-25,12.09%,277xx,< 1 year,2018-04-25
15486286,1000.0,2018-06-05,17.94%,600xx,3 years,2018-06-05
8133957,7000.0,2017-07-17,22.46%,146xx,< 1 year,2017-07-17
11136178,5000.0,2017-11-28,22.35%,436xx,< 1 year,2017-11-28
5092949,1000.0,2017-01-21,6.1%,112xx,5 years,2017-01-21
14436653,10000.0,2018-04-30,9.71%,770xx,< 1 year,2018-04-30
5086779,1000.0,2017-01-20,15.94%,301xx,5 years,2017-01-20
10481063,10000.0,2017-10-30,24.69%,774xx,< 1 year,2017-10-30
17090144,12000.0,2018-08-03,29.73%,631xx,< 1 year,2018-08-03
11587268,10000.0,2017-12-17,28.37%,604xx,< 1 year,2017-12-17
14551955,10000.0,2018-05-03,2.74%,700xx,< 1 year,2018-05-03
13960149,20000.0,2018-04-11,12.21%,330xx,< 1 year,2018-04-11
19843492,10000.0,2018-11-07,20.95%,662xx,< 1 year,2018-11-07
7145661,1700.0,2017-05-29,16.72%,945xx,< 1 year,2017-05-29
18220544,10000.0,2018-09-11,12.11%,330xx,< 1 year,2018-09-11
9493002,40000.0,2017-09-16,52.42%,554xx,< 1 year,2017-09-16
18288481,30000.0,2018-09-13,20.19%,993xx,< 1 year,2018-09-13
17818213,1000.0,2018-08-28,112.82%,304xx,< 1 year,2018-08-28
8270806,25000.0,2017-07-21,-1%,338xx,< 1 year,2017-07-21
5000421,20000.0,2017-01-15,19.04%,323xx,< 1 year,2017-01-15
2735479,15000.0,2016-08-16,23.4%,438xx,< 1 year,2016-08-16
11942205,15000.0,2018-01-05,15%,891xx,< 1 year,2018-01-05
3569406,10000.0,2016-10-15,73.24%,900xx,< 1 year,2016-10-15
6048782,3000.0,2017-03-26,0%,951xx,5 years,2017-03-26
15978906,12000.0,2018-06-23,3.23%,338xx,< 1 year,2018-06-23
4599635,2000.0,2016-12-19,11.31%,907xx,< 1 year,2016-12-19
13607350,4000.0,2018-03-26,0%,546xx,< 1 year,2018-03-26
18087824,5000.0,2018-09-06,17.12%,197xx,< 1 year,2018-09-06
4700817,30000.0,2016-12-27,41.94%,957xx,5 years,2016-12-27
3672108,30000.0,2016-10-21,14.35%,913xx,< 1 year,2016-10-21
7958013,5000.0,2017-07-09,-1%,388xx,5 years,2017-07-09
13869912,20000.0,2018-04-07,100%,300xx,< 1 year,2018-04-07
4774806,1000.0,2017-01-01,24.05%,781xx,5 years,2017-01-01
3822790,20000.0,2016-11-01,22.91%,731xx,3 years,2016-11-01
10599437,10000.0,2017-11-04,53.81%,982xx,< 1 year,2017-11-04
10440545,10000.0,2017-10-28,2.64%,103xx,10+ years,2017-10-28
3757779,8000.0,2016-10-27,27.9%,774xx,7 years,2016-10-27
2169646,10000.0,2016-07-06,15.1%,902xx,< 1 year,2016-07-06
9188110,30000.0,2017-09-02,10.62%,850xx,< 1 year,2017-09-02
3044675,7000.0,2016-09-07,32.77%,701xx,< 1 year,2016-09-07
19638891,40000.0,2018-10-31,21.48%,291xx,< 1 year,2018-10-31
20619304,15000.0,2018-12-04,31.39%,173xx,< 1 year,2018-12-04
2343263,2500.0,2016-07-19,0.6%,064xx,< 1 year,2016-07-19
10045691,5000.0,2017-10-11,0%,928xx,< 1 year,2017-10-11
15926211,25000.0,2018-06-21,8.82%,923xx,< 1 year,2018-06-21
9491846,24000.0,2017-09-16,9.87%,939xx,< 1 year,2017-09-16
21206135,7000.0,2018-12-26,8.99%,207xx,< 1 year,2018-12-26
10239126,3000.0,2017-10-19,19.38%,107xx,< 1 year,2017-10-19
1312206,8000.0,2016-04-18,1.6%,200xx,5 years,2016-04-18
19703869,17000.0,2018-11-02,20.82%,613xx,< 1 year,2018-11-02
12728135,25000.0,2018-02-12,25.09%,700xx,< 1 year,2018-02-12
13407577,5000.0,2018-03-17,4.17%,691xx,< 1 year,2018-03-17
3068442,10000.0,2016-09-08,21.32%,114xx,5 years,2016-09-08
20887753,6000.0,2018-12-12,5.85%,900xx,< 1 year,2018-12-12
8838062,3000.0,2017-08-16,27%,061xx,< 1 year,2017-08-16
20657102,10000.0,2018-12-05,8.88%,330xx,< 1 year,2018-12-05
13261457,4000.0,2018-03-10,702.75%,462xx,< 1 year,2018-03-10
14228395,40000.0,2018-04-22,8.82%,916xx,< 1 year,2018-04-22
14708097,2000.0,2018-05-09,0%,971xx,< 1 year,2018-05-09
13803175,3000.0,2018-04-04,54.22%,298xx,< 1 year,2018-04-04
5232208,1000.0,2017-01-30,22.11%,604xx,< 1 year,2017-01-30
8168031,5000.0,2017-07-18,63.33%,809xx,< 1 year,2017-07-18
15963768,10000.0,2018-06-22,13.02%,806xx,< 1 year,2018-06-22
1166385,10000.0,2016-04-06,17.94%,180xx,< 1 year,2016-04-06
10918185,7500.0,2017-11-17,13.81%,850xx,< 1 year,2017-11-17
18812037,9000.0,2018-10-02,39.93%,531xx,< 1 year,2018-10-02
9944700,10000.0,2017-10-06,38.1%,156xx,< 1 year,2017-10-06
6603445,2500.0,2017-04-29,29.7%,317xx,< 1 year,2017-04-29
2210731,2500.0,2016-07-08,21.65%,461xx,< 1 year,2016-07-08
13353164,1000.0,2018-03-14,16.96%,018xx,< 1 year,2018-03-14
9631857,3000.0,2017-09-22,20.99%,103xx,5 years,2017-09-22
18031294,35000.0,2018-09-05,100%,921xx,< 1 year,2018-09-05
9143996,20000.0,2017-08-31,21.56%,301xx,< 1 year,2017-08-31
12529812,10000.0,2018-02-01,12.79%,913xx,< 1 year,2018-02-01
20038322,1000.0,2018-11-14,29.87%,457xx,< 1 year,2018-11-14
20477620,2000.0,2018-11-29,19.67%,321xx,< 1 year,2018-11-29
10426493,1000.0,2017-10-27,9.72%,850xx,< 1 year,2017-10-27
2110069,40000.0,2016-07-02,27.63%,282xx,< 1 year,2016-07-02
9628243,1000.0,2017-09-21,7.3%,700xx,< 1 year,2017-09-21
14316805,1000.0,2018-04-25,14.71%,850xx,< 1 year,2018-04-25
13689888,30000.0,2018-03-30,26.94%,381xx,< 1 year,2018-03-30
12500138,40000.0,2018-01-31,4.92%,588xx,< 1 year,2018-01-31
9090812,1000.0,2017-08-29,13.29%,628xx,< 1 year,2017-08-29
13645399,12000.0,2018-03-28,18.64%,160xx,< 1 year,2018-03-28
10575397,35000.0,2017-11-03,22.04%,231xx,< 1 year,2017-11-03
2280094,1200.0,2016-07-13,3.5%,236xx,< 1 year,2016-07-13
20947582,1000.0,2018-12-14,0%,531xx,4 years,2018-12-14
13114772,1000.0,2018-03-03,25.4%,532xx,< 1 year,2018-03-03
3118968,3000.0,2016-09-12,0%,024xx,< 1 year,2016-09-12
18944503,35000.0,2018-10-07,9.96%,910xx,< 1 year,2018-10-07
11357220,9000.0,2017-12-06,28.33%,925xx,< 1 year,2017-12-06
12592367,10000.0,2018-02-05,14.08%,604xx,< 1 year,2018-02-05
18782949,2000.0,2018-10-02,100%,767xx,< 1 year,2018-10-02
8705506,8000.0,2017-08-10,-1%,275xx,5 years,2017-08-10
4704925,10000.0,2016-12-27,0.5%,906xx,< 1 year,2016-12-27
17053174,40000.0,2018-08-02,19.45%,840xx,< 1 year,2018-08-02
10316716,3000.0,2017-10-23,52.74%,197xx,< 1 year,2017-10-23
16775085,8000.0,2018-07-23,3.12%,936xx,< 1 year,2018-07-23
13346079,20000.0,2018-03-14,21.25%,081xx,< 1 year,2018-03-14
8068196,10000.0,2017-07-13,5.52%,564xx,< 1 year,2017-07-13
14123044,10000.0,2018-04-18,26.35%,103xx,< 1 year,2018-04-18
4218152,38000.0,2016-11-26,61.22%,112xx,< 1 year,2016-11-26
750341,15000.0,2016-03-08,20.19%,705xx,< 1 year,2016-03-08
8617988,20000.0,2017-08-06,52.01%,144xx,< 1 year,2017-08-06
18164752,3000.0,2018-09-10,58.37%,330xx,1 year,2018-09-10
3751615,2000.0,2016-10-27,100%,917xx,< 1 year,2016-10-27
13538009,1500.0,2018-03-22,9.8%,191xx,< 1 year,2018-03-22
18387381,5500.0,2018-09-17,6.63%,282xx,< 1 year,2018-09-17
9593367,30000.0,2017-09-20,27.1%,750xx,< 1 year,2017-09-20
223315,3000.0,2016-01-21,27.77%,765xx,< 1 year,2016-01-21
7595626,15000.0,2017-06-20,33.68%,919xx,< 1 year,2017-06-20
12578781,3500.0,2018-02-05,31.02%,274xx,< 1 year,2018-02-05
11697287,5000.0,2017-12-22,13.4%,833xx,< 1 year,2017-12-22
4299788,25000.0,2016-12-01,45.63%,763xx,< 1 year,2016-12-01
14752787,10000.0,2018-05-10,0%,199xx,< 1 year,2018-05-10
410182,35000.0,2016-02-07,349.59%,303xx,< 1 year,2016-02-07
271440,5000.0,2016-01-26,19.13%,297xx,< 1 year,2016-01-26
12068028,1000.0,2018-01-11,179.2%,165xx,< 1 year,2018-01-11
2405657,2000.0,2016-07-24,8.33%,076xx,5 years,2016-07-24
3077195,20000.0,2016-09-09,37.52%,801xx,< 1 year,2016-09-09
15144970,5000.0,2018-05-23,2.92%,846xx,< 1 year,2018-05-23
14648155,7500.0,2018-05-07,12.61%,191xx,< 1 year,2018-05-07
1860582,5000.0,2016-06-15,22.64%,906xx,< 1 year,2016-06-15
19498810,7000.0,2018-10-25,8.76%,731xx,< 1 year,2018-10-25
20740505,1000.0,2018-12-08,2.17%,296xx,3 years,2018-12-08
7225965,5500.0,2017-06-01,19.26%,145xx,5 years,2017-06-01
19534444,5000.0,2018-10-27,5.65%,952xx,< 1 year,2018-10-27
8813292,2000.0,2017-08-16,88.91%,441xx,< 1 year,2017-08-16
19075727,12000.0,2018-10-11,38.69%,294xx,< 1 year,2018-10-11
833387,20000.0,2016-03-14,16.08%,637xx,< 1 year,2016-03-14
10180974,25000.0,2017-10-17,22.99%,342xx,< 1 year,2017-10-17
16727695,9375.0,2018-07-21,100%,403xx,4 years,2018-07-21
6307090,35000.0,2017-04-11,20.31%,750xx,< 1 year,2017-04-11
20521901,20000.0,2018-12-01,108.55%,280xx,< 1 year,2018-12-01
5196402,3000.0,2017-01-27,22.44%,465xx,< 1 year,2017-01-27
21230344,35000.0,2018-12-27,25.78%,785xx,< 1 year,2018-12-27
10901619,1000.0,2017-11-16,0.84%,306xx,< 1 year,2017-11-16
8441170,10000.0,2017-07-28,134.59%,368xx,< 1 year,2017-07-28
16269941,40000.0,2018-07-05,8.07%,346xx,< 1 year,2018-07-05
9376957,12000.0,2017-09-11,15.35%,220xx,< 1 year,2017-09-11
4895578,30000.0,2017-01-09,10.22%,740xx,< 1 year,2017-01-09
8943049,10000.0,2017-08-22,18.59%,722xx,< 1 year,2017-08-22
12834207,16025.0,2018-02-17,100%,954xx,1 year,2018-02-17
20544890,10000.0,2018-12-02,18.72%,774xx,< 1 year,2018-12-02
13386075,5000.0,2018-03-16,26.64%,931xx,< 1 year,2018-03-16
20661556,6000.0,2018-12-05,18.87%,945xx,7 years,2018-12-05
16401719,3000.0,2018-07-10,3.84%,112xx,< 1 year,2018-07-10
9980875,18000.0,2017-10-08,54.05%,324xx,< 1 year,2017-10-08
547288,4000.0,2016-02-19,24.33%,112xx,5 years,2016-02-19
16251654,3400.0,2018-07-05,2.57%,891xx,< 1 year,2018-07-05
1564341,5000.0,2016-05-07,4.06%,338xx,< 1 year,2016-05-07
11860961,5000.0,2018-01-02,1.48%,331xx,< 1 year,2018-01-02
3668608,30000.0,2016-10-21,16.19%,480xx,< 1 year,2016-10-21
2893429,10000.0,2016-08-27,27.17%,935xx,< 1 year,2016-08-27
4835099,10000.0,2017-01-05,35.7%,785xx,< 1 year,2017-01-05
17082709,2000.0,2018-08-03,24.02%,301xx,5 years,2018-08-03
17982,25000.0,2016-01-03,8.83%,730xx,5 years,2016-01-03
8753426,10000.0,2017-08-13,100%,402xx,< 1 year,2017-08-13
12566457,3000.0,2018-02-04,12.62%,710xx,< 1 year,2018-02-04
15926202,12000.0,2018-06-21,12.51%,917xx,< 1 year,2018-06-21
9583826,30000.0,2017-09-20,-1%,906xx,< 1 year,2017-09-20
554765,20000.0,2016-02-20,7.38%,170xx,5 years,2016-02-20
10181565,11000.0,2017-10-17,11.53%,871xx,< 1 year,2017-10-17
20166889,15000.0,2018-11-18,49.5%,330xx,< 1 year,2018-11-18
87423,15000.0,2016-01-10,82.67%,357xx,< 1 year,2016-01-10
3780336,20000.0,2016-10-29,3.98%,024xx,5 years,2016-10-29
17821890,2000.0,2018-08-28,23.16%,481xx,< 1 year,2018-08-28
